,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
215,DHC,estimate_price_high,46310,48561,44244,41197,38503,41100,55271,59183,78695,69897,53839,49622,39524,43598,101565,84075,75956,67562,81246,116956,117623,113528,91567,81941,82335,73946
216,L14,estimate_price_low,43794,40820,49058,71194,78088,93006,81939,88857,75286,65859,46658,39578,37411,40843,43003,37441,33459,33268,30439,53676,106163,109292,1112144,256691,67625,77148
217,L14,estimate_price_high,65691,61230,73587,106791,117132,139508,122910,133286,112929,98788,69986,59367,56117,61264,64505,56161,50189,49901,45658,80513,159245,163938,1668216,385036,101438,115722
218,PTB,estimate_price_low,99532,112440,121487,112344,131304,123591,140021,128020,104693,77667,66770,54056,56111,61712,59509,50747,41460,42568,45373,63516,78401,94123,87089,95964,90477,56382
219,PTB,estimate_price_high,149298,168660,182231,168516,196956,185386,210032,192029,157039,116501,100155,81085,84166,92568,89264,76120,62190,63852,68060,95273,117601,141185,130634,143946,135716,84573
220,VSC,estimate_price_low,51042,43266,53517,48648,45778,46945,43494,43008,40502,38372,36408,30089,24178,22618,24133,25253,25338,25145,28078,37702,51510,63350,57823,45499,41214,29782
221,VSC,estimate_price_high,76563,64899,80275,72972,68667,70417,65240,64512,60753,57559,54613,45135,36268,33928,36200,37879,38007,37718,42117,56554,77265,95025,86735,68248,61822,44673
222,PAN,estimate_price_low,31762,29187,32766,23985,27873,115239,45296,54910,48734,29062,58271,25440,35758,28210,18990,16966,14997,15195,17140,20561,25122,23582,41779,34171,27876,22756
223,PAN,estimate_price_high,47644,43780,49150,35977,41810,172858,67943,82365,73101,43593,87405,38160,53637,42315,28485,25449,22495,22792,25710,30841,37683,35374,62668,51256,41813,34135
224,HBC,estimate_price_low,42667,87636,72956,55631,52633,51914,46852,37628,32486,23563,18043,16515,12238,9063,12798,6940,7406,7956,4060,9469,19801,10371,17216,16683,16233,11176
225,HBC,estimate_price_high,64001,131453,109434,83447,78950,77872,70277,56442,48730,35345,27064,24773,18358,13594,19198,10411,11108,11935,6089,14204,29700,15556,25825,25024,24349,16765
226,TCM,estimate_price_low,16574,16774,17484,24464,30738,25829,22131,20567,20277,26776,25251,22356,19581,16666,19795,16415,21710,22281,23972,55867,46768,38808,37634,53564,47680,95082
227,TCM,estimate_price_high,24861,25160,26225,36696,46107,38743,33195,30850,30416,40165,37877,33535,29372,24999,29692,24622,32565,33421,35958,83800,70152,58212,56451,80345,71519,142623
228,ASM,estimate_price_low,19550,26306,13635,11854,10116,8904,14240,102758,30398,16960,12349,5626,4066,5944,8130,4674,5712,4620,6301,8836,9484,20210,16468,20396,18410,11350
